,Weighting,InheritedValue,HI,AR,GK,AL,TB,VE,AV,OC,LI,OE,OI,LA,LU,LY,TA,PE,PR,LT,GO,ON,OG,WE,OS,UM
398.2son-in-law2,1,-1,1,2,3,3,4,17,17,18,18,5,6,3,7,8,9,10,11,12,13,13,5,14,15,16
399spin,1,-1,1,2,3,4,5,6,7,8,9,10,3,3,11,12,13,14,15,9,10,10,10,3,16,17
400.1spring1,1,-1,1,1,1,2,3,1,1,1,1,4,5,1,6,7,8,1,9,1,10,1,4,1,11,12
400.2spring2,1,-1,13,1,1,2,3,1,1,1,14,4,5,1,6,7,8,1,9,14,10,1,4,1,11,12
403.1summer1,1,-1,1,2,3,4,2,5,2,6,7,2,2,8,9,10,2,11,12,7,13,2,2,2,14,15
403.2summer2,1,-1,1,2,3,4,17,5,2,6,7,18,2,8,9,10,17,11,12,7,13,18,18,2,14,15
405.1sweet1,1,-1,1,2,3,4,6,5,8,9,9,6,7,11,12,14,6,17,18,9,19,6,6,7,21,23
405.2sweet2,1,-1,1,2,3,4,10,5,8,9,9,6,7,11,12,14,10,17,18,9,19,6,6,7,21,23
406ten,1,-1,1,2,2,2,2,2,2,2,2,2,2,2,3,4,2,5,2,2,2,2,2,2,6,2
407.1thousand1,1,-1,1,2,3,4,5,3,3,6,6,6,7,8,9,10,5,11,6,6,6,6,6,12,13,14
407.2thousand2,1,-1,1,2,3,4,5,15,15,6,6,6,7,8,9,10,5,11,6,6,6,6,6,12,13,14
408twenty,1,-1,1,2,2,3,2,2,2,4,4,5,2,2,6,7,2,8,9,4,5,5,5,2,10,11
409udder,1,-1,1,2,3,4,5,3,6,7,8,3,9,3,10,11,12,13,14,8,15,3,3,16,17,18
410wasp,1,-1,1,2,3,4,5,6,7,8,7,7,9,7,10,11,12,13,7,14,15,16,17,18,19,20
414widow,1,-1,1,2,3,2,4,2,2,2,5,2,2,2,6,7,8,9,2,10,2,11,2,2,12,13
415winter,1,-1,2,2,2,2,2,2,2,2,2,7,2,2,9,11,2,14,2,2,7,7,7,2,17,19
418wool,1,-1,1,2,3,4,5,1,1,1,1,1,12,1,1,6,7,8,9,1,1,1,1,12,10,11
419yoke,1,-1,1,1,1,2,3,1,4,1,1,1,1,1,5,6,7,8,9,1,1,1,1,1,10,11
420.1young1,1,-1,1,2,2,3,4,5,5,5,5,5,5,5,6,7,8,9,10,5,5,5,5,5,11,5
420.2young2,1,-1,1,2,2,3,4,5,5,5,5,12,12,5,6,7,8,9,10,5,12,12,12,12,11,5
421tear,1,-1,1,2,2,3,11,11,11,4,11,2,2,2,5,6,11,7,8,11,2,2,2,2,9,10
